Replication Factor	Partition	Message Size	Acks	Max Request Size	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
2	1	500	-1	2000000	107135.2046	51.09	574.61	1015	529	961	1011	1014
2	1	500	-1	2000000	112145.3404	53.48	548.38	879	533	843	872	878
2	1	500	-1	2000000	111067.2372	52.96333	553.23	991	525.66667	945.66667	982.33333	990
2	1	500	-1	5000000	105340.7774	50.23	584.48	1166	541	1013	1161	1165
2	1	500	-1	5000000	90711.17562	43.25	683.41	2647	516	2628	2640	2645
2	1	500	-1	5000000	108695.6522	51.83	563.62	756	555	735	751	753
2	1	500	-1	5000000	101582.5351	48.43667	610.50333	1523	537.33333	1458.66667	1517.33333	1521
2	1	500	-1	10000000	110253.5832	52.57	559.07	966	532	945	962	965
2	1	500	-1	10000000	105585.4714	50.35	583.16	985	552	895	909	977
2	1	500	-1	10000000	114705.2076	54.7	536.21	756	519	733	753	756
2	1	500	-1	10000000	110181.4208	52.54	559.48	902.33333	534.33333	857.66667	874.66667	899.33333
2	1	1000	-1	500000	55722.72373	53.14	555.57	995	532	728	891	987
2	1	1000	-1	500000	53510.27397	51.03	568.58	1212	536	879	1209	1211
2	1	1000	-1	500000	57510.92708	54.85	534.5	706	533	677	695	705
2	1	1000	-1	500000	55581.30826	53.00667	552.88333	971	533.66667	761.33333	931.66667	967.66667
2	1	1000	-1	1048576	56085.24958	53.49	551.64	916	514	883	909	915
2	1	1000	-1	1048576	53867.70093	51.37	574.89	1114	543	911	1085	1111
2	1	1000	-1	1048576	57550.64457	54.88	537.5	832	519	814	829	831
2	1	1000	-1	1048576	55834.53169	53.24667	554.67667	954	525.33333	869.33333	941	952.33333
2	1	1000	-1	2000000	49504.9505	47.21	626.75	1823	536	1575	1796	1820
2	1	1000	-1	2000000	57716.72631	55.04	534.71	900	503	877	894	899
2	1	1000	-1	2000000	53163.21106	50.7	583.12	1126	516	1094	1122	1125
2	1	1000	-1	2000000	53461.62929	50.98333	581.52667	1283	518.33333	1182	1270.66667	1281.33333
2	1	1000	-1	5000000	54788.51633	52.25	566.21	1079	547	895	1077	1078
2	1	1000	-1	5000000	49053.27185	46.78	633.79	1794	528	1765	1790	1793
2	1	1000	-1	5000000	57392.10285	54.73	538.98	1075	508	794	1056	1073
2	1	1000	-1	5000000	53744.63034	51.25333	579.66	1316	527.66667	1151.33333	1307.66667	1314.66667
2	1	1000	-1	10000000	59017.94145	56.28	523.88	621	522	604	616	620
2	1	1000	-1	10000000	54981.30636	52.43	564.86	974	530	924	965	973
2	1	1000	-1	10000000	53861.89809	51.37	575.6	975	534	944	971	974
2	1	1000	-1	10000000	55953.7153	53.36	554.78	856.66667	528.66667	824	850.66667	855.66667
2	2	100	-1	500000	341576.7181	32.58	815.91	2911	1292	2637	2897	2908
2	2	100	-1	500000	573723.4653	54.71	463.76	802	309	624	677	701
2	2	100	-1	500000	619732.2757	59.1	429.13	774	361	499	553	566
2	2	100	-1	500000	511677.4864	48.79667	569.6	1495.66667	654	1253.33333	1375.66667	1391.66667
2	2	100	-1	1048576	548065.3294	52.27	509.76	857	508	788	827	842
2	2	100	-1	1048576	559534.4673	53.36	479.71	1691	332	1474	1578	1589
2	2	100	-1	1048576	589066.918	56.18	473.13	748	533	696	729	746
2	2	100	-1	1048576	565555.5716	53.93667	487.53333	1098.66667	457.66667	986	1044.66667	1059
2	2	100	-1	2000000	597371.5651	56.97	448.07	1232	500	1109	1211	1224
2	2	100	-1	2000000	522411.4513	49.82	518.62	1753	595	1710	1739	1751
2	2	100	-1	2000000	618582.2096	58.99	431.28	892	420	775	862	890
2	2	100	-1	2000000	579455.0753	55.26	465.99	1292.33333	505	1198	1270.66667	1288.33333
2	2	100	-1	5000000	616370.8087	58.78	429.55	891	426	837	867	890
2	2	100	-1	5000000	608865.0755	58.07	422.45	1196	688	1147	1171	1194
2	2	100	-1	5000000	498454.7902	47.54	548.46	3492	21	737	753	773
2	2	100	-1	5000000	574563.5581	54.79667	466.82	1859.66667	378.33333	907	930.33333	952.33333
2	2	100	-1	10000000	613572.2175	58.51	454.6	706	421	610	668	682
2	2	100	-1	10000000	535102.7397	51.03	508.82	1842	380	1753	1796	1802
2	2	100	-1	10000000	627273.8678	59.82	428.44	1349	471	1252	1334	1346
2	2	100	-1	10000000	591982.9417	56.45333	463.95333	1299	424	1205	1266	1276.66667
2	2	500	-1	500000	156764.3831	74.75	382.11	890	428	786	875	888
2	2	500	-1	500000	135519.7181	64.62	456.16	1112	408	955	1082	1083
2	2	500	-1	500000	112561.9091	53.67	526.61	1054	489	1020	1039	1052
2	2	500	-1	500000	134948.6701	64.34667	454.96	1018.66667	441.66667	920.33333	998.66667	1007.66667
2	2	500	-1	1048576	91970.93718	43.86	652.01	2568	477	2427	2547	2561
2	2	500	-1	1048576	88597.50155	42.25	687.54	1949	570	1853	1923	1945
2	2	500	-1	1048576	118821.2928	56.66	505.79	698	493	645	691	692
2	2	500	-1	1048576	99796.57717	47.59	615.11333	1738.33333	513.33333	1641.66667	1720.33333	1732.66667
2	2	500	-1	2000000	87161.16099	41.56	714.51	2513	444	987	1043	1049
2	2	500	-1	2000000	112460.6388	53.63	532.33	1451	455	1039	1275	1301
2	2	500	-1	2000000	105965.879	50.53	566.47	1247	510	922	1033	1038
2	2	500	-1	2000000	101862.5596	48.57333	604.43667	1737	469.66667	982.66667	1117	1129.33333
2	2	500	-1	5000000	81833.06056	39.02	763.16	7158	21	4749	4836	4858
2	2	500	-1	5000000	121862.0522	58.11	497.79	1974	547	1579	1897	1966
2	2	500	-1	5000000	135263.0867	64.5	423.02	1680	384	1515	1641	1677
2	2	500	-1	5000000	112986.0665	53.87667	561.32333	3604	317.33333	2614.33333	2791.33333	2833.66667
2	2	500	-1	10000000	88401.69731	42.15	674.17	2278	431	926	1675	1681
2	2	500	-1	10000000	87888.90842	41.91	711.38	5983	308	5347	5381	5982
2	2	500	-1	10000000	135648.3993	64.68	451.2	1236	389	881	1193	1225
2	2	500	-1	10000000	103979.6684	49.58	612.25	3165.66667	376	2384.66667	2749.66667	2962.66667
2	2	1000	-1	500000	48933.25504	46.67	620.53	1263	603	969	1151	1262
2	2	1000	-1	500000	44165.70974	42.12	692.59	1553	738	1332	1523	1550
2	2	1000	-1	500000	45114.13877	43.02	680.23	4243	430	4169	4232	4240
2	2	1000	-1	500000	46071.03452	43.93667	664.45	2353	590.33333	2156.66667	2302	2350.66667
2	2	1000	-1	1048576	57221.33211	54.57	512.28	1175	440	883	1107	1162
2	2	1000	-1	1048576	53978.19281	51.48	557.4	1028	470	933	1013	1027
2	2	1000	-1	1048576	47582.79406	45.38	652.49	3274	457	2421	2510	3263
2	2	1000	-1	1048576	52927.43966	50.47667	574.05667	1825.66667	455.66667	1412.33333	1543.33333	1817.33333
2	2	1000	-1	2000000	47245.58254	45.06	653.52	4119	466	2288	4093	4114
2	2	1000	-1	2000000	65282.67398	62.26	456.17	852	416	828	846	850
2	2	1000	-1	2000000	44412.86197	42.36	684.49	1691	617	1372	1503	1687
2	2	1000	-1	2000000	52313.70616	49.89333	598.06	2220.66667	499.66667	1496	2147.33333	2217
2	2	1000	-1	5000000	48393.34108	46.15	628.52	917	581	882	907	912
2	2	1000	-1	5000000	32754.66754	31.24	662.49	6709	501	1050	5604	6692
2	2	1000	-1	5000000	78259.50853	74.63	391.63	856	342	827	849	855
2	2	1000	-1	5000000	53135.83905	50.67333	560.88	2827.33333	474.66667	919.66667	2453.33333	2819.66667
2	2	1000	-1	10000000	81314.0348	77.55	361.52	579	314	488	505	566
2	2	1000	-1	10000000	43036.66724	41.04	712.87	1757	717	1522	1671	1745
2	2	1000	-1	10000000	44010.21037	41.97	696.96	1638	644	1236	1544	1623
2	2	1000	-1	10000000	56120.30414	53.52	590.45	1324.66667	558.33333	1082	1240	1311.33333
2	5	100	-1	500000	227717.8121	21.72	1049.06	12030	494	733	751	756
2	5	100	-1	500000	750750.7508	71.6	234.82	533	288	488	511	531
2	5	100	-1	500000	710429.0992	67.75	270.98	585	163	352	380	395
2	5	100	-1	500000	562965.8873	53.69	518.28667	4382.66667	315	524.33333	547.33333	560.66667
2	5	100	-1	1048576	628061.8013	59.9	403.41	909	569	872	897	906
2	5	100	-1	1048576	726849.8328	69.32	317.4	650	439	578	639	648
2	5	100	-1	1048576	685776.9853	65.4	349.04	827	410	765	803	826
2	5	100	-1	1048576	680229.5398	64.87333	356.61667	795.33333	472.66667	738.33333	779.66667	793.33333
2	5	100	-1	2000000	676223.9654	64.49	362.01	885	7	355	405	414
2	5	100	-1	2000000	603718.9085	57.58	297.23	1405	25	153	196	220
2	5	100	-1	2000000	661288.1894	63.07	362.79	1587	8	298	325	335
2	5	100	-1	2000000	647077.0211	61.71333	340.67667	1292.33333	13.33333	268.66667	308.66667	323
2	5	100	-1	5000000	678150.0068	64.67	354.36	922	105	249	630	638
2	5	100	-1	5000000	661638.2162	63.1	344.71	1407	165	1243	1296	1313
2	5	100	-1	5000000	810241.452	77.27	228.69	463	306	437	451	461
2	5	100	-1	5000000	716676.5583	68.34667	309.25333	930.66667	192	643	792.33333	804
2	5	100	-1	10000000	687663.32	65.58	232.49	1287	330	885	1282	1287
2	5	100	-1	10000000	357193.8848	34.06	710.84	2228	3	115	139	148
2	5	100	-1	10000000	421940.9283	40.24	587.55	1520	4	173	193	199
2	5	100	-1	10000000	488932.7111	46.62667	510.29333	1678.33333	112.33333	391	538	544.66667
2	5	500	-1	500000	84997.87505	40.53	686.78	2001	478	1707	1735	1995
2	5	500	-1	500000	141322.7812	67.39	419.27	1411	404	1142	1316	1398
2	5	500	-1	500000	179083.0946	85.39	331.05	691	315	594	689	690
2	5	500	-1	500000	135134.5836	64.43667	479.03333	1367.66667	399	1147.66667	1246.66667	1361
2	5	500	-1	1048576	163880.6949	78.14	344.11	899	361	810	855	897
2	5	500	-1	1048576	77489.34522	36.95	797.02	4465	370	4201	4413	4455
2	5	500	-1	1048576	115273.7752	54.97	506.71	1290	388	1252	1272	1282
2	5	500	-1	1048576	118881.2718	56.68667	549.28	2218	373	2087.66667	2180	2211.33333
2	5	500	-1	2000000	90530.50878	43.17	660.37	2025	647	1442	1938	2019
2	5	500	-1	2000000	98425.19685	46.93	600	1204	668	1167	1191	1200
2	5	500	-1	2000000	98590.1607	47.01	599.19	2044	522	1499	1957	2037
2	5	500	-1	2000000	95848.62211	45.70333	619.85333	1757.66667	612.33333	1369.33333	1695.33333	1752
2	5	500	-1	5000000	101988.7812	48.63	601.81	1213	654	1182	1209	1211
2	5	500	-1	5000000	77688.00497	37.04	765.29	2647	632	2517	2561	2564
