Replication Factor	Partition	Message Size	Acks	Batch Size	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
2	2	100	-1	50000	979506.7917	93.41333	69.71667	819.66667	45	254.33333	314.66667	325
2	2	100	-1	100000	763708.5688	72.83	128.13	1081	22	594	1041	1076
2	2	100	-1	100000	326669.28	31.15	804.98	1463	977	1127	1353	1459
2	2	100	-1	100000	346692.553	33.06	762.19	1111	841	998	1044	1099
2	2	100	-1	100000	479023.4673	45.68	565.1	1218.33333	613.33333	906.33333	1146	1211.33333
2	2	100	-1	200000	364484.6187	34.76	722.22	1305	826	975	1202	1265
2	2	100	-1	200000	350951.0774	33.47	737.01	1980	732	883	1087	1187
2	2	100	-1	200000	276014.3527	26.32	977.43	9200	630	8702	9081	9176
2	2	100	-1	200000	330483.3496	31.51667	812.22	4161.66667	729.33333	3520	3790	3876
2	2	100	-1	500000	564971.7514	53.88	350	1439	349	1371	1397	1410
2	2	100	-1	500000	453555.8781	43.25	580.34	809	651	766	787	796
2	2	100	-1	500000	317299.1496	30.26	796.31	2981	813	2848	2935	2960
2	2	100	-1	500000	445275.593	42.46333	575.55	1743	604.33333	1661.66667	1706.33333	1722
2	2	500	-1	16384	56189.24538	26.79	1127.94	11220	428	10166	10218	10235
2	2	500	-1	16384	148964.6954	71.03	405.64	627	351	504	515	528
2	2	500	-1	16384	114889.7059	54.78	518.94	1146	461	790	868	946
2	2	500	-1	16384	106681.2155	50.86667	684.17333	4331	413.33333	3820	3867	3903
2	2	500	-1	50000	90269.00163	43.04	652.21	1840	446	983	1420	1521
2	2	500	-1	50000	57283.61116	27.31	1083.04	5736	916	5420	5679	5730
2	2	500	-1	50000	108436.3479	51.71	556.41	798	611	756	774	781
2	2	500	-1	50000	85329.65355	40.68667	763.88667	2791.33333	657.66667	2386.33333	2624.33333	2677.33333
2	2	500	-1	100000	84904.05841	40.49	718.04	1135	783	932	1083	1119
2	2	500	-1	100000	76863.95081	36.65	777.16	1920	1233	1806	1862	1893
