Replication Factor	Partition	Message Size	Acks	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
5	5	10	-1	1043400.266	9.95	58.38667	4503.33333	11.66667	155.33333	387.66667	513.33333
5	5	20	-1	1001963.849	19.11	43.48	722	13	199	360	467
5	5	20	-1	971100.0622	18.52	59.02	1090	12	265	388	1086
5	5	20	-1	1034853.879	19.74	47.96	477	12	228	329	408
5	5	20	-1	1002639.263	19.12333	50.15333	763	12.33333	230.66667	359	653.66667
5	5	50	-1	371457.2267	17.71	1267.98	3608	878	2178	2334	2452
5	5	50	-1	334638.4232	15.96	1491.63	4018	1507	3402	3735	3819
5	5	50	-1	321729.6184	15.34	1692.07	2450	1736	2024	2094	2177
5	5	50	-1	342608.4228	16.33667	1483.89333	3358.66667	1373.66667	2534.66667	2721	2816
5	5	100	-1	203450.5208	19.4	1402.17	2151	1487	1700	1756	1789
5	5	100	-1	196811.6513	18.77	1425.73	2007	1579	1810	1913	1928
5	5	100	-1	202028.3648	19.27	1401.42	2180	1483	1660	1782	1828
5	5	100	-1	200763.5123	19.14667	1409.77333	2112.66667	1516.33333	1723.33333	1817	1848.33333
5	5	200	-1	110810.691	21.14	1348.38	1840	1466	1653	1781	1795
5	5	200	-1	105851.4692	20.19	1368.54	2788	1309	1886	2315	2382
5	5	200	-1	112102.5963	21.38	1318.91	2059	1480	1729	1844	1942
5	5	200	-1	109588.2522	20.90333	1345.27667	2229	1418.33333	1756	1980	2039.66667
5	5	500	-1	46240.63627	22.05	1332.78	1848	1442	1590	1768	1818
5	5	500	-1	38380.34926	18.3	1426.9	6363	1441	1569	6002	6320
5	5	500	-1	39379.38096	18.78	1556.49	2554	1828	2393	2510	2539
5	5	500	-1	41333.4555	19.71	1438.72333	3588.33333	1570.33333	1850.66667	3426.66667	3559
5	5	1000	-1	18029.06285	17.19	1740.54	3440	1715	3205	3381	3421
5	5	1000	-1	21395.86632	20.4	1448.43	1983	1500	1771	1849	1978
5	5	1000	-1	22681.90891	21.63	1369.56	1888	1432	1632	1790	1845
5	5	1000	-1	20702.27936	19.74	1519.51	2437	1549	2202.66667	2340	2414.66667
1	1	10	0	1570154.503	14.97	1.1	205	0	2	17	131
1	1	10	0	1666833.35	15.9	15.43	969	0	3	634	939
1	1	10	0	1511121.857	14.41	31.29	1297	0	124	930	1278
1	1	10	0	1582703.237	15.09333	15.94	823.66667	0	43	527	782.66667
1	1	20	0	1538745.615	29.35	1.24	184	0	2	4	164
1	1	20	0	1532520.076	29.23	0.39	133	0	2	2	5
1	1	20	0	1450031.901	27.66	35.57	1172	0	202	975	1157
1	1	20	0	1507099.197	28.74667	12.4	496.33333	0	68.66667	327	442
1	1	50	0	1306847.883	62.32	0.32	132	0	1	2	7
1	1	50	0	1320480.655	62.97	20.96	507	0	152	450	501
1	1	50	0	1263264.275	60.24	0.37	136	0	2	2	6
