Replication Factor	Partition	Message Size	Acks	Buffer Memory	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
2	5	500	-1	200000000	105170.2483	50.15	2545.35333	5143	2531.33333	4882.66667	5107.66667	5138.66667
2	5	1000	-1	10000000	54656.75558	52.12	170.67	361	211	329	341	354
2	5	1000	-1	10000000	45972.78411	43.84	203.28	1154	261	532	1082	1144
2	5	1000	-1	10000000	46232.08507	44.09	204.84	1343	155	694	1252	1335
2	5	1000	-1	10000000	48953.87492	46.68333	192.93	952.66667	209	518.33333	891.66667	944.33333
2	5	1000	-1	33554432	84488.0027	80.57	348.49	773	321	716	763	772
2	5	1000	-1	33554432	78382.19157	74.75	387.23	1715	340	1467	1707	1714
2	5	1000	-1	33554432	85484.69824	81.52	348.03	905	441	743	891	904
2	5	1000	-1	33554432	82784.96417	78.94667	361.25	1131	367.33333	975.33333	1120.33333	1130
2	5	1000	-1	100000000	59382.4228	56.63	1396.06	3451	1310	3313	3426	3449
2	5	1000	-1	100000000	42176.29692	40.22	1815.98	4694	975	4622	4670	4687
2	5	1000	-1	100000000	40134.85311	38.28	1967.58	4131	1309	4077	4108	4115
2	5	1000	-1	100000000	47231.19094	45.04333	1726.54	4092	1198	4004	4068	4083.66667
2	5	1000	-1	200000000	44670.77638	42.6	2952.37	5586	2507	5550	5564	5572
2	5	1000	-1	200000000	47719.03035	45.51	2655.17	5549	2249	5458	5533	5544
2	5	1000	-1	200000000	48090.79542	45.86	2677.47	5462	2280	5240	5442	5457
2	5	1000	-1	200000000	46826.86738	44.65667	2761.67	5532.33333	2345.33333	5416	5513	5524.33333
5	1	100	-1	10000000	175444.7524	16.73	505.35	2613	292	1488	2101	2557
5	1	100	-1	10000000	122168.7395	11.65	709.83	1882	577	1339	1822	1875
5	1	100	-1	10000000	180890.7058	17.25	471.34	2162	394	927	1719	2152
5	1	100	-1	10000000	159501.3993	15.21	562.17333	2219	421	1251.33333	1880.66667	2194.66667
5	1	100	-1	33554432	133793.5833	12.76	2200.62	6559	2220	4217	5701	6533
5	1	100	-1	33554432	248360.8186	23.69	1118.08	2335	962	1850	2284	2314
5	1	100	-1	33554432	145827.8648	13.91	2002.2	3548	2132	3150	3530	3547
5	1	100	-1	33554432	175994.0889	16.78667	1773.63333	4147.33333	1771.33333	3072.33333	3838.33333	4131.33333
5	1	100	-1	100000000	221533.0084	21.13	3081.1	6971	3028	5030	6412	6941
5	1	100	-1	100000000	154736.4838	14.76	5013.51	7736	5513	6907	7358	7629
5	1	100	-1	100000000	199576.897	19.03	3760.22	6607	2951	6505	6594	6603
5	1	100	-1	100000000	191948.7964	18.30667	3951.61	7104.66667	3830.66667	6147.33333	6788	7057.66667
5	1	100	-1	200000000	67972.64781	6.48	24557.12	43052	25262	41638	42627	43040
5	1	100	-1	200000000	74629.09341	7.12	22562.87	40770	22717	39775	40429	40559
5	1	100	-1	200000000	73655.05863	7.02	22490.26	40566	23545	39005	39775	40552
5	1	100	-1	200000000	72085.59995	6.87333	23203.41667	41462.66667	23841.33333	40139.33333	40943.66667	41383.66667
5	1	500	-1	10000000	52518.25009	25.04	364.18	1026	258	845	1012	1018
5	1	500	-1	10000000	26937.47811	12.84	717.16	1638	821	1195	1356	1606
5	1	500	-1	10000000	52129.48965	24.86	358.8	1780	246	1058	1775	1780
5	1	500	-1	10000000	43861.73929	20.91333	480.04667	1481.33333	441.66667	1032.66667	1381	1468
