Replication Factor	Partition	Message Size	Acks	Linger Ms	Max Request Size	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	2	1000	-1	2	1048576	94948.72769	90.55	313.11	416	328	386	398	412
1	2	1000	-1	2	1048576	92764.37848	88.47	321.16	1075	260	976	1052	1073
1	2	1000	-1	2	1048576	95047.00317	90.64333	313.14667	652.66667	304.66667	588.33333	636.33333	650.66667
1	2	1000	-1	2	5000000	86715.22719	82.7	345.7	462	356	416	441	456
1	2	1000	-1	2	5000000	89333.57156	85.2	333.47	1057	344	980	1037	1055
1	2	1000	-1	2	5000000	92816.03861	88.52	323.22	516	331	492	505	511
1	2	1000	-1	2	5000000	89621.61245	85.47333	334.13	678.33333	343.66667	629.33333	661	674
1	2	1000	-1	2	10000000	54818.5506	52.28	576.13	4789	304	4669	4761	4789
1	2	1000	-1	2	10000000	119388.7297	113.86	244.85	352	257	305	324	348
1	2	1000	-1	2	10000000	110326.5666	105.22	268.05	361	277	328	336	357
1	2	1000	-1	2	10000000	94844.61565	90.45333	363.01	1834	279.33333	1767.33333	1807	1831.33333
1	2	1000	-1	5	1048576	102648.3268	97.89	293.02	433	299	380	408	429
1	2	1000	-1	5	1048576	46095.69466	43.96	681.53	6428	303	6335	6418	6427
1	2	1000	-1	5	1048576	170823.3686	162.91	165.74	288	154	258	283	287
1	2	1000	-1	5	1048576	106522.4634	101.58667	380.09667	2383	252	2324.33333	2369.66667	2381
1	2	1000	-1	5	5000000	133582.6877	127.39	218.52	317	230	285	307	313
1	2	1000	-1	5	5000000	111607.1429	106.44	264.55	770	252	671	764	766
1	2	1000	-1	5	5000000	94625.28388	90.24	315.57	562	335	468	522	560
1	2	1000	-1	5	5000000	113271.7048	108.02333	266.21333	549.66667	272.33333	474.66667	531	546.33333
1	2	1000	-1	5	10000000	55991.04143	53.4	563.59	6112	156	6061	6100	6110
1	2	1000	-1	5	10000000	132625.9947	126.48	224.55	855	204	764	844	853
1	2	1000	-1	5	10000000	110595.0011	105.47	266.38	415	284	366	402	412
1	2	1000	-1	5	10000000	99737.34574	95.11667	351.50667	2460.66667	214.66667	2397	2448.66667	2458.33333
1	5	100	-1	0	1048576	86890.03198	8.29	1.55	54102	1	3	10	21
1	5	100	-1	0	1048576	1356116.084	129.33	1.2	140	1	2	5	12
1	5	100	-1	0	1048576	1429796.969	136.36	1.42	142	1	2	5	10
1	5	100	-1	0	1048576	957601.0281	91.32667	1.39	18128	1	2.33333	6.66667	14.33333
1	5	100	-1	0	5000000	1401738.155	133.68	1.44	138	1	2	11	27
1	5	100	-1	0	5000000	1418439.716	135.27	1.36	137	1	2	7	13
1	5	100	-1	0	5000000	1315443.304	125.45	12.4	233	1	107	211	231
1	5	100	-1	0	5000000	1378540.392	131.46667	5.06667	169.33333	1	37	76.33333	90.33333
1	5	100	-1	0	10000000	1273560.876	121.46	33.54	251	1	211	234	245
1	5	100	-1	0	10000000	1177578.898	112.3	43.8	402	1	272	373	397
1	5	100	-1	0	10000000	1208313.195	115.23	43.27	474	1	425	450	472
1	5	100	-1	0	10000000	1219817.656	116.33	40.20333	375.66667	1	302.66667	352.33333	371.33333
1	5	100	-1	2	1048576	1321353.066	126.01	25.18	335	1	266	320	332
1	5	100	-1	2	1048576	1414027.149	134.85	1.23	141	1	2	13	25
1	5	100	-1	2	1048576	1469723.692	140.16	1.02	144	1	2	5	17
1	5	100	-1	2	1048576	1401701.302	133.67333	9.14333	206.66667	1	90	112.66667	124.66667
1	5	100	-1	2	5000000	1157407.407	110.38	49.43	729	1	706	721	726
1	5	100	-1	2	5000000	1441337.561	137.46	0.95	135	1	2	5	13
1	5	100	-1	2	5000000	1410437.236	134.51	10.3	223	1	99	197	222
1	5	100	-1	2	5000000	1336394.068	127.45	20.22667	362.33333	1	269	307.66667	320.33333
1	5	100	-1	2	10000000	1429388.222	136.32	1.01	141	1	2	5	16
1	5	100	-1	2	10000000	1467997.651	140	1.04	136	1	2	7	14
1	5	100	-1	2	10000000	1512401.694	144.23	2.34	269	1	2	73	123
1	5	100	-1	2	10000000	1469929.189	140.18333	1.46333	182	1	2	28.33333	51
1	5	100	-1	5	1048576	1510574.018	144.06	0.89	141	1	2	3	8
1	5	100	-1	5	1048576	498355.4271	47.53	410.26	6716	1	6661	6706	6714
1	5	100	-1	5	1048576	1318217.77	125.72	25.19	349	1	257	344	348
