Replication Factor	Partition	Message Size	Acks	Batch Size	Linger ms	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	2	1000	-1	16384	5	72621.64125	69.26	420.67	1546	363	1482	1516	1528
1	2	1000	-1	16384	5	75120.19231	71.64	416.72	1374	318	1339	1364	1372
1	2	1000	-1	16384	5	86655.11265	82.64	346.68	444	364	422	433	443
1	2	1000	-1	16384	5	78132.3154	74.51333	394.69	1121.33333	348.33333	1081	1104.33333	1114.33333
1	2	1000	-1	200000	0	72886.29738	69.51	416.45	1425	373	1361	1400	1403
1	2	1000	-1	200000	0	88417.3298	84.32	338	913	353	798	900	910
1	2	1000	-1	200000	0	43346.33724	41.34	730.31	8324	183	8131	8283	8320
1	2	1000	-1	200000	0	68216.6548	65.05667	494.92	3554	303	3430	3527.66667	3544.33333
1	2	1000	-1	200000	2	132625.9947	126.48	215.01	773	243	742	762	772
1	2	1000	-1	200000	2	98483.35631	93.92	308.77	1113	285	696	703	1111
1	2	1000	-1	200000	2	100583.3836	95.92	294.08	402	310	365	375	399
1	2	1000	-1	200000	2	110564.2449	105.44	272.62	762.66667	279.33333	601	613.33333	760.66667
1	2	1000	-1	200000	5	47447.33346	45.25	665.27	6591	319	6366	6530	6566
1	2	1000	-1	200000	5	126582.2785	120.72	234.04	675	211	609	625	626
1	2	1000	-1	200000	5	120076.8492	114.51	248.77	675	254	547	659	672
1	2	1000	-1	200000	5	98035.48704	93.49333	382.69333	2647	261.33333	2507.33333	2604.66667	2621.33333
1	2	1000	-1	500000	0	93405.56697	89.08	318.53	673	300	535	648	665
1	2	1000	-1	500000	0	37332.93512	35.6	852.35	6517	314	6407	6459	6512
1	2	1000	-1	500000	0	187125.7485	178.46	142.63	253	162	222	238	249
1	2	1000	-1	500000	0	105954.7502	101.04667	437.83667	2481	258.66667	2388	2448.33333	2475.33333
1	2	1000	-1	500000	2	106382.9787	101.45	277.46	1494	220	1286	1474	1488
1	2	1000	-1	500000	2	102103.3286	97.37	290.2	953	255	784	938	950
1	2	1000	-1	500000	2	93388.12103	89.06	316.89	490	325	436	458	483
1	2	1000	-1	500000	2	100624.8094	95.96	294.85	979	266.66667	835.33333	956.66667	973.66667
1	2	1000	-1	500000	5	63548.55109	60.6	482.03	1772	313	1730	1758	1767
1	2	1000	-1	500000	5	87199.16289	83.16	344.03	992	333	838	944	986
1	2	1000	-1	500000	5	83111.70213	79.26	359.94	1063	349	842	994	1058
1	2	1000	-1	500000	5	77953.1387	74.34	395.33333	1275.66667	331.66667	1136.66667	1232	1270.33333
1	5	100	-1	16384	0	80062.76921	7.64	2.05	59002	1	6	20	27
1	5	100	-1	16384	0	1409244.645	134.4	1.69	136	1	2	13	18
1	5	100	-1	16384	0	1412828.483	134.74	1.38	144	1	2	5	12
1	5	100	-1	16384	0	967378.6322	92.26	1.70667	19760.66667	1	3.33333	12.66667	19
1	5	100	-1	16384	2	1488981.537	142	1	147	1	2	5	18
1	5	100	-1	16384	2	1485884.101	141.7	0.99	137	1	2	5	15
1	5	100	-1	16384	2	1336898.396	127.5	14.05	208	1	116	194	206
1	5	100	-1	16384	2	1437254.678	137.06667	5.34667	164	1	40	68	79.66667
1	5	100	-1	16384	5	1166316.772	111.23	58.86	821	1	760	808	819
1	5	100	-1	16384	5	1232437.762	117.53	33.75	387	1	264	347	385
1	5	100	-1	16384	5	1194172.439	113.89	49.2	759	1	732	752	757
1	5	100	-1	16384	5	1197642.324	114.21667	47.27	655.66667	1	585.33333	635.66667	653.66667
1	5	100	-1	200000	0	1240387.001	118.29	27.71	528	1	420	522	526
1	5	100	-1	200000	0	1285347.044	122.58	1.07	135	1	2	6	12
1	5	100	-1	200000	0	1341201.717	127.91	17.2	356	1	132	287	350
1	5	100	-1	200000	0	1288978.587	122.92667	15.32667	339.66667	1	184.66667	271.66667	296
1	5	100	-1	200000	2	1586797.842	151.33	4.09	147	4	6	8	16
1	5	100	-1	200000	2	1660026.56	158.31	4.18	140	4	6	12	17
1	5	100	-1	200000	2	1161170.46	110.74	68.96	1100	6	952	1080	1098
1	5	100	-1	200000	2	1469331.621	140.12667	25.74333	462.33333	4.66667	321.33333	366.66667	377
1	5	100	-1	200000	5	1272912.424	121.39	29.87	140	18	95	116	134
1	5	100	-1	200000	5	798977.309	76.2	153.79	1562	54	1472	1548	1558
1	5	100	-1	200000	5	847026.9355	80.78	149.38	825	59	667	782	821
1	5	100	-1	200000	5	972972.2227	92.79	111.01333	842.33333	43.66667	744.66667	815.33333	837.66667
1	5	100	-1	500000	0	631313.1313	60.21	336.73	626	398	523	550	574
1	5	100	-1	500000	0	467989.517	44.63	450.49	3079	171	2892	3036	3058
1	5	100	-1	500000	0	941796.9486	89.82	96.97	562	54	400	527	553
1	5	100	-1	500000	0	680366.5323	64.88667	294.73	1422.33333	207.66667	1271.66667	1371	1395
1	5	100	-1	500000	2	745823.389	71.13	230.98	506	265	438	464	491
1	5	100	-1	500000	2	581462.9608	55.45	389.99	1468	363	1193	1285	1318
1	5	100	-1	500000	2	740631.0176	70.63	232.87	487	212	430	446	458
1	5	100	-1	500000	2	689305.7892	65.73667	284.61333	820.33333	280	687	731.66667	755.66667
1	5	100	-1	500000	5	697641.9701	66.53	259.92	904	289	708	848	876
1	5	100	-1	500000	5	665601.7039	63.48	338.64	567	396	483	504	539
1	5	100	-1	500000	5	538329.0267	51.34	428.2	2304	398	1982	2221	2241
1	5	100	-1	500000	5	633857.5669	60.45	342.25333	1258.33333	361	1057.66667	1191	1218.66667
1	5	500	-1	16384	0	175162.0249	83.52	342.17	987	347	770	927	986
1	5	500	-1	16384	0	170299.7275	81.21	339.99	427	372	405	416	425
1	5	500	-1	16384	0	101132.6861	48.22	610.82	5582	249	5449	5558	5581
1	5	500	-1	16384	0	148864.8128	70.98333	430.99333	2332	322.66667	2208	2300.33333	2330.66667
1	5	500	-1	16384	2	225988.7006	107.76	247.98	524	256	448	487	523
1	5	500	-1	16384	2	183486.2385	87.49	315.96	773	337	609	744	772
1	5	500	-1	16384	2	167869.7331	80.05	347.15	466	376	439	456	464
1	5	500	-1	16384	2	192448.2241	91.76667	303.69667	587.66667	323	498.66667	562.33333	586.33333
1	5	500	-1	16384	5	127959.0531	61.02	433.51	1327	436	566	1304	1325
1	5	500	-1	16384	5	143492.6101	68.42	413.19	490	446	471	481	489
1	5	500	-1	16384	5	143122.9426	68.25	409.13	1354	456	1094	1312	1354
1	5	500	-1	16384	5	138191.5353	65.89667	418.61	1057	446	710.33333	1032.33333	1056
1	5	500	-1	200000	0	140825.2359	67.15	419.47	559	441	493	522	553
1	5	500	-1	200000	0	129032.2581	61.53	458.83	1914	384	1744	1865	1910
1	5	500	-1	200000	0	158730.1587	75.69	359.96	532	380	462	501	527
1	5	500	-1	200000	0	142862.5509	68.12333	412.75333	1001.66667	401.66667	899.66667	962.66667	996.66667
1	5	500	-1	200000	2	56379.32007	26.88	883.03	10506	381	1980	10487	10494
1	5	500	-1	200000	2	561797.7528	267.89	66.41	140	83	105	112	115
1	5	500	-1	200000	2	379075.0569	180.76	118.51	505	107	457	490	502
1	5	500	-1	200000	2	332417.3766	158.51	355.98333	3717	190.33333	847.33333	3696.33333	3703.66667
1	5	500	-1	200000	5	152788.3881	72.86	393.88	4317	138	4242	4301	4316
1	5	500	-1	200000	5	279642.0582	133.34	192.49	312	201	281	303	308
1	5	500	-1	200000	5	183217.2957	87.36	307.65	514	306	459	483	509
1	5	500	-1	200000	5	205215.914	97.85333	298.00667	1714.33333	215	1660.66667	1695.66667	1711
1	5	500	-1	500000	0	124610.5919	59.42	465.35	1009	510	948	983	1002
1	5	500	-1	500000	0	136593.3616	65.13	415.13	574	427	508	538	556
1	5	500	-1	500000	0	137005.0692	65.33	419.17	851	439	784	836	846
