Replication Factor	Partition	Message Size	Acks	Batch Size	Max Request Size	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	5	500	-1	500000	10000000	243664.7173	116.19	211.25	371	238	315	360	369
1	5	500	-1	500000	10000000	309593.6888	147.62667	170.61	442	165	390.66667	429.33333	435.33333
1	5	1000	-1	16384	1048576	106860.4403	101.91	274.73	374	296	349	363	370
1	5	1000	-1	16384	1048576	75838.01001	72.32	398.9	2156	298	2089	2133	2154
1	5	1000	-1	16384	1048576	83042.68394	79.2	361.67	1535	306	1509	1528	1533
1	5	1000	-1	16384	1048576	88580.37807	84.47667	345.1	1355	300	1315.66667	1341.33333	1352.33333
1	5	1000	-1	16384	5000000	80089.70047	76.38	377.58	1805	299	1725	1768	1804
1	5	1000	-1	16384	5000000	92678.40593	88.39	329.7	1225	312	1024	1188	1224
1	5	1000	-1	16384	5000000	94375.23594	90	314.44	413	330	387	399	407
1	5	1000	-1	16384	5000000	89047.78078	84.92333	340.57333	1147.66667	313.66667	1045.33333	1118.33333	1145
1	5	1000	-1	16384	10000000	89047.19501	84.92	332.79	434	358	407	422	430
1	5	1000	-1	16384	10000000	43066.32214	41.07	740.84	9365	120	9306	9354	9364
1	5	1000	-1	16384	10000000	142166.6193	135.58	199	372	218	330	351	368
1	5	1000	-1	16384	10000000	91426.71214	87.19	424.21	3390.33333	232	3347.66667	3375.66667	3387.33333
1	5	1000	-1	200000	1048576	110180.6963	105.08	267.32	422	275	356	401	417
1	5	1000	-1	200000	1048576	100989.6991	96.31	290.12	627	310	526	622	626
1	5	1000	-1	200000	1048576	89031.33903	84.91	344.85	1040	332	811	991	1035
1	5	1000	-1	200000	1048576	100067.2448	95.43333	300.76333	696.33333	305.66667	564.33333	671.33333	692.66667
1	5	1000	-1	200000	5000000	87997.18409	83.92	337.63	607	350	429	553	604
1	5	1000	-1	200000	5000000	83347.22454	79.49	358.41	500	365	430	451	494
1	5	1000	-1	200000	5000000	77303.64873	73.72	389.29	586	407	554	572	585
1	5	1000	-1	200000	5000000	82882.68579	79.04333	361.77667	564.33333	374	471	525.33333	561
1	5	1000	-1	200000	10000000	79201.64739	75.53	376.83	517	395	450	475	489
