Replication Factor	Partition	Message Size	Acks	Batch Size	Buffer Memory	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	2	1000	-1	200000	33554432	89621.79602	85.47	331.51	450	350	426	440	448
1	2	1000	-1	200000	33554432	71746.30507	68.42	365.53	1268	481	533	549	1265
1	2	1000	-1	200000	33554432	64817.21545	61.81	475.78	2340	372	2265	2303	2324
1	2	1000	-1	200000	33554432	75395.10551	71.9	390.94	1352.66667	401	1074.66667	1097.33333	1345.66667
1	2	1000	-1	200000	100000000	78419.07152	74.79	1034.73	1743	1136	1640	1722	1736
1	2	1000	-1	200000	100000000	75792.02668	72.28	1086.57	1613	1193	1412	1574	1598
1	2	1000	-1	200000	100000000	73486.1846	70.08	1122.55	1436	1328	1400	1422	1433
1	2	1000	-1	200000	100000000	75899.09426	72.38333	1081.28333	1597.33333	1219	1484	1572.66667	1589
1	2	1000	-1	200000	200000000	52061.64098	49.65	3178.89	6310	2530	6196	6273	6295
1	2	1000	-1	200000	200000000	87183.95815	83.15	1559.09	2777	1957	2540	2729	2774
1	2	1000	-1	200000	200000000	76911.24442	73.35	1811.82	2749	2235	2720	2729	2745
1	2	1000	-1	200000	200000000	72052.28119	68.71667	2183.26667	3945.33333	2240.66667	3818.66667	3910.33333	3938
1	2	1000	-1	500000	33554432	78198.31092	74.58	383.2	938	380	566	848	933
1	2	1000	-1	500000	33554432	39578.88071	37.75	800.4	5774	398	3115	5703	5768
1	2	1000	-1	500000	33554432	127844.541	121.92	218.74	340	245	291	318	338
1	2	1000	-1	500000	33554432	81873.91089	78.08333	467.44667	2350.66667	341	1324	2289.66667	2346.33333
1	2	1000	-1	500000	100000000	93879.08374	89.53	841.88	1415	921	1298	1395	1402
1	2	1000	-1	500000	100000000	79757.53709	76.06	1013.1	1415	1199	1324	1395	1410
1	2	1000	-1	500000	100000000	69502.36308	66.28	1206.31	1960	1308	1720	1856	1913
1	2	1000	-1	500000	100000000	81046.32797	77.29	1020.43	1596.66667	1142.66667	1447.33333	1548.66667	1575
1	2	1000	-1	500000	200000000	37898.88577	36.14	4756.19	10871	1127	10762	10864	10870
1	2	1000	-1	500000	200000000	119645.8483	114.1	1060.65	2163	1280	1924	2140	2159
1	2	1000	-1	500000	200000000	90793.5355	86.59	1501.32	2333	1945	2272	2305	2326
1	2	1000	-1	500000	200000000	82779.42319	78.94333	2439.38667	5122.33333	1450.66667	4986	5103	5118.33333
1	5	100	-1	16384	33554432	75604.07657	7.21	2.16	60001	1	7	20	31
1	5	100	-1	16384	33554432	1301405.518	124.11	1.82	147	1	3	18	35
1	5	100	-1	16384	33554432	1427755.568	136.16	1.44	138	1	2	4	30
1	5	100	-1	16384	33554432	934921.7209	89.16	1.80667	20095.33333	1	4	14	32
1	5	100	-1	16384	100000000	1360174.102	129.72	1.56	137	1	2	9	40
1	5	100	-1	16384	100000000	1356116.084	129.33	1.59	137	1	2	7	17
1	5	100	-1	16384	100000000	1251251.251	119.33	35.45	368	2	306	358	367
1	5	100	-1	16384	100000000	1322513.812	126.12667	12.86667	214	1.33333	103.33333	124.66667	141.33333
1	5	100	-1	16384	200000000	1004016.064	95.75	104.71	847	1	609	822	845
1	5	100	-1	16384	200000000	1390433.815	132.6	2.88	138	1	5	55	97
1	5	100	-1	16384	200000000	1294665.976	123.47	43.04	545	1	375	518	543
1	5	100	-1	16384	200000000	1229705.285	117.27333	50.21	510	1	329.66667	465	495
1	5	100	-1	200000	33554432	1259763.165	120.14	5.81	176	1	13	153	174
1	5	100	-1	200000	33554432	1369487.812	130.6	13.88	611	1	72	344	461
1	5	100	-1	200000	33554432	1351716.68	128.91	1.43	139	1	2	12	23
1	5	100	-1	200000	33554432	1326989.219	126.55	7.04	308.66667	1	29	169.66667	219.33333
1	5	100	-1	200000	100000000	1449275.362	138.21	1.43	135	1	2	6	32
1	5	100	-1	200000	100000000	1174536.058	112.01	79.72	682	2	608	659	680
1	5	100	-1	200000	100000000	1167951.413	111.38	9.06	148	1	68	123	144
1	5	100	-1	200000	100000000	1263920.945	120.53333	30.07	321.66667	1.33333	226	262.66667	285.33333
1	5	100	-1	200000	200000000	822774.3953	78.47	162.71	576	138	462	568	575
1	5	100	-1	200000	200000000	603209.0723	57.53	763.8	2286	541	2056	2203	2282
1	5	100	-1	200000	200000000	559659.7269	53.37	1187.2	2471	1119	2337	2440	2465
1	5	100	-1	200000	200000000	661881.0648	63.12333	704.57	1777.66667	599.33333	1618.33333	1737	1774
1	5	100	-1	500000	33554432	553648.5439	52.8	430.79	1817	398	1642	1753	1786
1	5	100	-1	500000	33554432	630119.7227	60.09	313.06	822	385	584	760	814
1	5	100	-1	500000	33554432	610128.1269	58.19	370.2	566	446	497	519	534
1	5	100	-1	500000	33554432	597965.4645	57.02667	371.35	1068.33333	409.66667	907.66667	1010.66667	1044.66667
1	5	100	-1	500000	100000000	608124.5439	58	755.42	1670	707	1562	1604	1627
1	5	100	-1	500000	100000000	603354.6519	57.54	798.95	1733	765	1564	1672	1717
1	5	100	-1	500000	100000000	569800.5698	54.34	933.52	1778	966	1706	1749	1766
1	5	100	-1	500000	100000000	593759.9219	56.62667	829.29667	1727	812.66667	1610.66667	1675	1703.33333
1	5	100	-1	500000	200000000	578168.3626	55.14	921.68	2080	809	1931	2026	2075
1	5	100	-1	500000	200000000	564079.4224	53.79	1473	2054	1510	1831	2008	2044
1	5	100	-1	500000	200000000	652145.5589	62.19	725.06	1859	591	1723	1828	1843
1	5	100	-1	500000	200000000	598131.1146	57.04	1039.91333	1997.66667	970	1828.33333	1954	1987.33333
1	5	500	-1	16384	33554432	143492.6101	68.42	413.83	543	434	516	529	538
1	5	500	-1	16384	33554432	110963.1602	52.91	549.87	2252	390	2174	2224	2248
1	5	500	-1	16384	33554432	78579.2865	37.47	804.34	9569	146	9349	9544	9567
1	5	500	-1	16384	33554432	111011.6856	52.93333	589.34667	4121.33333	323.33333	4013	4099	4117.66667
1	5	500	-1	16384	100000000	402576.4895	191.96	340.56	502	389	488	498	501
1	5	500	-1	16384	100000000	225479.1432	107.52	676.03	1469	540	1343	1452	1468
1	5	500	-1	16384	100000000	142348.7544	67.88	1112.18	2149	1139	2127	2138	2145
1	5	500	-1	16384	100000000	256801.4624	122.45333	709.59	1373.33333	689.33333	1319.33333	1362.66667	1371.33333
1	5	500	-1	16384	200000000	130599.4515	62.27	2065.15	3210	2555	3160	3189	3209
1	5	500	-1	16384	200000000	108354.1012	51.67	2212.09	4684	2677	3369	4672	4679
1	5	500	-1	16384	200000000	142551.675	67.97	1843.18	3142	2213	2926	3120	3137
1	5	500	-1	16384	200000000	127168.4092	60.63667	2040.14	3678.66667	2481.66667	3151.66667	3660.33333	3675
1	5	500	-1	200000	33554432	142470.4374	67.94	414.29	560	415	508	547	555
1	5	500	-1	200000	33554432	125376.1284	59.78	476.62	2154	397	2059	2139	2152
1	5	500	-1	200000	33554432	144112.9846	68.72	403.69	548	413	504	528	542
1	5	500	-1	200000	33554432	137319.8501	65.48	431.53333	1087.33333	408.33333	1023.66667	1071.33333	1083
1	5	500	-1	200000	100000000	42149.63119	20.1	2096.26	18185	1298	17924	18149	18182
1	5	500	-1	200000	100000000	556792.8731	265.5	65.64	202	60	134	191	202
1	5	500	-1	200000	100000000	438404.2087	209.05	163.79	551	84	496	528	546
1	5	500	-1	200000	100000000	345782.2376	164.88333	775.23	6312.66667	480.66667	6184.66667	6289.33333	6310
1	5	500	-1	200000	200000000	201207.2435	95.94	1164.61	2153	1521	2072	2146	2150
1	5	500	-1	200000	200000000	257798.4017	122.93	779.45	1715	673	1664	1701	1714
1	5	500	-1	200000	200000000	181225.0816	86.41	1299.37	2509	1344	2380	2421	2508
1	5	500	-1	200000	200000000	213410.2422	101.76	1081.14333	2125.66667	1179.33333	2038.66667	2089.33333	2124
1	5	500	-1	500000	33554432	100492.4128	47.92	580.01	2840	375	2671	2782	2829
1	5	500	-1	500000	33554432	169348.0102	80.75	324.55	539	342	433	475	490
1	5	500	-1	500000	33554432	131839.1562	62.87	438.92	1848	373	1587	1775	1844
1	5	500	-1	500000	33554432	133893.1931	63.84667	447.82667	1742.33333	363.33333	1563.66667	1677.33333	1721
1	5	500	-1	500000	100000000	140785.5836	67.13	1094.66	1597	1251	1519	1549	1578
1	5	500	-1	500000	100000000	122865.2169	58.59	1341.77	2709	1201	2503	2657	2707
1	5	500	-1	500000	100000000	74521.20128	35.53	2464.39	9818	1083	9680	9767	9801
1	5	500	-1	500000	100000000	112724.0006	53.75	1633.60667	4708	1178.33333	4567.33333	4657.66667	4695.33333
1	5	500	-1	500000	200000000	274197.9709	130.75	680.91	1647	517	1604	1627	1644
1	5	500	-1	500000	200000000	191570.8812	91.35	1228.95	2261	1261	2163	2224	2257
1	5	500	-1	500000	200000000	157158.573	74.94	1619.36	2782	1907	2682	2749	2768
1	5	500	-1	500000	200000000	207642.4751	99.01333	1176.40667	2230	1228.33333	2149.66667	2200	2223
1	5	1000	-1	16384	33554432	66693.344	63.6	458.52	2008	362	1964	1987	2005
1	5	1000	-1	16384	33554432	72653.29846	69.29	411.88	557	423	531	546	553
1	5	1000	-1	16384	33554432	67540.18641	64.41	446.18	596	467	565	580	591
1	5	1000	-1	16384	33554432	68962.27629	65.76667	438.86	1053.66667	417.33333	1020	1037.66667	1049.66667
1	5	1000	-1	16384	100000000	61927.17364	59.06	1328.38	1673	1465	1637	1670	1672
1	5	1000	-1	16384	100000000	57286.89276	54.63	1494.04	3483	1252	3296	3426	3482
1	5	1000	-1	16384	100000000	72337.96296	68.99	1119.32	1547	1256	1513	1523	1544
